ID,Organizations,Organization,Source_Type,P1,P2,Total_Annual,Flow,Disbursement_Type,Parish,Receiving_Type,Parish Source_Type,fips
0,15th Judicial District Court - Asset Forfeiture/Sale,15th Judicial District Court,Asset Forfeiture/Sale,15561,60166,75727,less,Disbursements to governments & nonprofits,acadia,District Courts,acadia Asset Forfeiture/Sale,22001
1,15th Judicial District Court - Bond Fees,15th Judicial District Court,Bond Fees,34241,40467,74708,less,Disbursements to governments & nonprofits,acadia,District Courts,acadia Bond Fees,22001
2,15th Judicial District Court (Indigent Defender Office Fund) - Bond Fees,15th Judicial District Court,Bond Fees,34241,40467,74708,less,Disbursements to governments & nonprofits,acadia,District Courts,acadia Bond Fees,22001
3,15th Judicial District Court (Judicial Fund) - Bond Fees,15th Judicial District Court,Bond Fees,34241,40467,74708,less,Disbursements to governments & nonprofits,acadia,District Courts,acadia Bond Fees,22001
4,Acadia Parish Clerk of Court - Civil Fees,Acadia Parish Clerk of Court,Civil Fees,10052,22051,32103,less,Disbursements to governments & nonprofits,acadia,Parish Clerk of Court,acadia Civil Fees,22001
5,Caddo Parish Sheriff - Civil Fees,Caddo Parish Sherrif,Civil Fees,0,304,304,less,Disbursements to governments & nonprofits,acadia,Parish Sheriff,acadia Civil Fees,22001
6,Calcasieu Parish Sheriff - Civil Fees,Calcasieu Parish Sheriff,Civil Fees,0,108,108,less,Disbursements to governments & nonprofits,acadia,Parish Sheriff,acadia Civil Fees,22001
7,East Baton Rouge Parish Sheriff - Civil Fees,East Baton Rouge Parish Sheriff,Civil Fees,30,111,141,less,Disbursements to governments & nonprofits,acadia,Parish Sheriff,acadia Civil Fees,22001
8,Evangeline Parish Clerk of Court - Civil Fees,Evangeline Parish Clerk of Court,Civil Fees,47,0,47,less,Disbursements to governments & nonprofits,acadia,Parish Clerk of Court,acadia Civil Fees,22001
9,Jefferson Davis Parish Sheriff - Civil Fees,Jefferson Davis Parish Sheriff,Civil Fees,0,60,60,less,Disbursements to governments & nonprofits,acadia,Parish Sheriff,acadia Civil Fees,22001
10,Jefferson Parish Sheriff - Civil Fees,Jefferson Parish Sheriff,Civil Fees,0,120,120,less,Disbursements to governments & nonprofits,acadia,Parish Sheriff,acadia Civil Fees,22001
11,Lafayette Parish Sheriff - Civil Fees,Lafayette Parish Sheriff,Civil Fees,74,30,104,less,Disbursements to governments & nonprofits,acadia,Parish Sheriff,acadia Civil Fees,22001
12,Orleans Parish Sheriff - Civil Fees,Orleans Parish Sheriff,Civil Fees,30,60,90,less,Disbursements to governments & nonprofits,acadia,Parish Sheriff,acadia Civil Fees,22001
13,Ouachita Parish Sheriff - Civil Fees,Ouachita Parish Sheriff,Civil Fees,0,96,96,less,Disbursements to governments & nonprofits,acadia,Parish Sheriff,acadia Civil Fees,22001
14,St. Landry Parih Sheriff - Civil Fees,St. Landry Parish Sheriff,Civil Fees,0,85,85,less,Disbursements to governments & nonprofits,acadia,Parish Sheriff,acadia Civil Fees,22001
15,Vermilion Parish Sheriff - Civil Fees,Vermillion Parish Sheriff,Civil Fees,192,36,228,less,Disbursements to governments & nonprofits,acadia,Parish Sheriff,acadia Civil Fees,22001
16,Webster Parish Sheriff - Civil Fees,Webster Parish Sheriff,Civil Fees,120,0,120,less,Disbursements to governments & nonprofits,acadia,Parish Sheriff,acadia Civil Fees,22001
17,15th Judicial District Court - Criminal Court Costs/Fees,15th Judicial District Court,Criminal Court Costs/Fees,22892,30721,53613,less,Disbursements to governments & nonprofits,acadia,District Courts,acadia Criminal Court Costs/Fees,22001
18,15th Judicial District Court (Indigent Defender Office Fund) - Criminal Court Costs/Fees,15th Judicial District Court,Criminal Court Costs/Fees,40916,55559,96475,less,Disbursements to governments & nonprofits,acadia,District Courts,acadia Criminal Court Costs/Fees,22001
19,15th Judicial District Court (Judicial Fund) - Criminal Court Costs/Fees,15th Judicial District Court,Criminal Court Costs/Fees,4441,6252,10693,less,Disbursements to governments & nonprofits,acadia,District Courts,acadia Criminal Court Costs/Fees,22001
20,Acadia Psnish Clerk of Court - Criminal Court Costs/Fees,Acadia Parish Clerk of Court,Criminal Court Costs/Fees,21737,30156,51893,less,Disbursements to governments & nonprofits,acadia,Parish Clerk of Court,acadia Criminal Court Costs/Fees,22001
21,Acadiana Criminalistics Laboratory Commission - Criminal Court Costs/Fees,Acadiana Criminalistics Laboratory Commission,Criminal Court Costs/Fees,35764,49771,85535,less,Disbursements to governments & nonprofits,acadia,Crime Labs,acadia Criminal Court Costs/Fees,22001
22,Crimestoppers of Acadia Parish - Criminal Court Costs/Fees ,Crimestoppers of Acadia Parish,Criminal Court Costs/Fees,1728,2386,4114,less,Disbursements to governments & nonprofits,acadia,Crimestoppers Organizations,acadia Criminal Court Costs/Fees,22001
23,Louisiana Commission on Law Enforcement - Criminal Court Costs/Fees ,Louisiana Commission on Law Enforcement,Criminal Court Costs/Fees,4493,6152,10645,less,Disbursements to governments & nonprofits,acadia,Louisiana Commission on Law Enforcement,acadia Criminal Court Costs/Fees,22001
24,Louisiana Department of Treasury (Littering) - Criminal Court Costs/Fees ,Louisiana Department of Treasury (Littering),Criminal Court Costs/Fees,150,350,500,less,Disbursements to governments & nonprofits,acadia,Louisiana State Treasury,acadia Criminal Court Costs/Fees,22001
25,Louisiana Department of Wildlife and Fisheries - Criminal Court Costs/Fees ,Louisiana Department of Wildlife and Fisheries,Criminal Court Costs/Fees,170,503,673,less,Disbursements to governments & nonprofits,acadia,Louisiana Department of Wildlife and Fisheries,acadia Criminal Court Costs/Fees,22001
26,Louisiana Supreme Court (CMIS) - Criminal Court Costs/Fees ,Louisiana Supreme Court (CMIS),Criminal Court Costs/Fees,2589,3577,6166,less,Disbursements to governments & nonprofits,acadia,Louisiana Supreme Court,acadia Criminal Court Costs/Fees,22001
27,Louisiana Supreme Court (Judicial College Fund) - Criminal Court Costs/Fees ,Louisiana Supreme Court (Judicial College Fund),Criminal Court Costs/Fees,425,588,1013,less,Disbursements to governments & nonprofits,acadia,Louisiana Supreme Court,acadia Criminal Court Costs/Fees,22001
28,Louisiana Dept of Healthand Hospitals - Criminal Court Costs/Fees ,Louisiana Department of Health and Hospitals,Criminal Court Costs/Fees,2533,3032,5565,less,Disbursements to governments & nonprofits,acadia,Louisiana Department of Health and Hospitals,acadia Criminal Court Costs/Fees,22001
29,Louisiana State Police - Criminal Court Costs/Fees ,Louisiana State Police,Criminal Court Costs/Fees,1307,1382,2689,less,Disbursements to governments & nonprofits,acadia,Louisiana State Police/State Services,acadia Criminal Court Costs/Fees,22001
30,Acadia Parish Police Jury - Criminal Court Costs/Fees ,Acadia Parish Police Jury,Criminal Court Costs/Fees,26427,36750,63177,less,Disbursements to governments & nonprofits,acadia,Police Jury/Police Jury Costs,acadia Criminal Court Costs/Fees,22001
31,15th Judicial District Court  - Criminal Fines - Other ,15th Judicial District Court,Criminal Fines - Other,14099,21682,35781,less,Disbursements to governments & nonprofits,acadia,District Courts,acadia Criminal Fines - Other,22001
32,Acadia Parish Police Jury - Criminal Fines - Other ,Acadia Parish Police Jury,Criminal Fines - Other,89291,137321,226612,less,Disbursements to governments & nonprofits,acadia,Police Jury/Police Jury Costs,acadia Criminal Fines - Other,22001
33,"Amounts ""Self-Disbursed"" to Collecting Agency - Civil Fees (Fixed) ",Self-Disbursed to Collecting Agency,Civil Fees (Fixed),60701,71693,132394,less,Amounts retained by collection agency,acadia,Collections/Processing,acadia Civil Fees (Fixed),22001
34,"Amounts ""Self-Disbursed"" to Collecting Agency - Civil Fees (Percentage) ",Self-Disbursed to Collecting Agency,Civil Fees (Percentage),37907,31208,69115,less,Amounts retained by collection agency,acadia,Collections/Processing,acadia Civil Fees (Percentage),22001
35,"Amounts ""Self-Disbursed"" to Collecting Agency - Bond Fees (Percentage) ",Self-Disbursed to Collecting Agency,Bond Fees (Percentage),34241,40467,74708,less,Amounts retained by collection agency,acadia,Collections/Processing,acadia Bond Fees (Percentage),22001
36,"Amounts ""Self-Disbursed"" to Collecting Agency - Criminal Court Costs/Fees ",Self-Disbursed to Collecting Agency,Criminal Court Costs/Fees,27613,33823,61436,less,Amounts retained by collection agency,acadia,Collections/Processing,acadia Criminal Court Costs/Fees,22001
37,"Amounts ""Self-Disbursed"" to Collecting Agency - Criminal Fines - Other ",Self-Disbursed to Collecting Agency,Criminal Fines - Other,14099,21682,35781,less,Amounts retained by collection agency,acadia,Collections/Processing,acadia Criminal Fines - Other,22001
38,Bond Fee Refunds ,Individuals - Bond Fee Refunds,Unspecified,10901,10053,20954,less,Disbursements to individuals/3rd party collection or processing agencies,acadia,Individuals - Specified,acadia Unspecified,22001
39,Payments to 3rd Party Collection/Processing Agencies ,3rd Party Collection/Processing Agencies,Unspecified,138132,160147,298279,less,Disbursements to individuals/3rd party collection or processing agencies,acadia,Collections/Processing,acadia Unspecified,22001
40,Civil Fees,Acadia Parish Sheriff,Civil Fees,244171,282221,526392,more,NAN,acadia,Parish Sheriff,acadia Civil Fees,22001
41,Bond Fees,Acadia Parish Sheriff,Bond Fees,135035,212180,347215,more,NAN,acadia,Parish Sheriff,acadia Bond Fees,22001
42,Asset Forfeiture/Sale,Acadia Parish Sheriff,Asset Forfeiture/Sale,18000,57727,75727,more,NAN,acadia,Parish Sheriff,acadia Asset Forfeiture/Sale,22001
43,Criminal Court Costs/Fees,Acadia Parish Sheriff,Criminal Court Costs/Fees,196244,255397,451641,more,NAN,acadia,Parish Sheriff,acadia Criminal Court Costs/Fees,22001
44,Criminal Fines - other,Acadia Parish Sheriff,Criminal Fines - Other,113046,176713,289759,more,NAN,acadia,Parish Sheriff,acadia Criminal Fines - Other,22001
96,Allen Parish Clerk of Court - Criminal Court costs/fees,Allen Parish Clerk of Court,Criminal Court Costs/Fees,8781,12402,21183,less,Disbursements to governments & nonprofits,allen,Parish Clerk of Court,allen Criminal Court Costs/Fees,22003
97,Allen Parish Clerk of Court - Criminal Court fines ,Allen Parish Clerk of Court,Criminal Court Fines,30,0,30,less,Disbursements to governments & nonprofits,allen,Parish Clerk of Court,allen Criminal Court Fines,22003
98,Allen Outreach - Criminal Court costs/fees,Allen Outreach,Criminal Court Costs/Fees,230,185,415,less,Disbursements to governments & nonprofits,allen,Miscellaneous,allen Criminal Court Costs/Fees,22003
99,Allen Parish Coroner - Criminal Courtcosts/fees ,Allen Parish Coroner,Criminal Court Costs/Fees,881,1026,1907,less,Disbursements to governments & nonprofits,allen,Coroners,allen Criminal Court Costs/Fees,22003
100,Southwest Crime Lab - Criminal Court costs/fees,Southwest Crime Lab,Criminal Court Costs/Fees,16538,23919,40457,less,Disbursements to governments & nonprofits,allen,Crime Labs,allen Criminal Court Costs/Fees,22003
101,Southwest Crime Lab - bond filing fee-other,Southwest Crime Lab,Bond Filing Fee - Other,378,364,742,less,Disbursements to governments & nonprofits,allen,Crime Labs,allen Bond Filing Fee - Other,22003
102,Allen Parish Crirnestoppers - costs,Allen Parish Crimestoppers,Costs,438,878,1316,less,Disbursements to governments & nonprofits,allen,Crimestoppers Organizations,allen Costs,22003
103,Allen Parish Police Jury - Crinmal Court fund-costs,Allen Parish Police Jury,Criminal Court Fund - Costs,3961,7055,11016,less,Disbursements to governments & nonprofits,allen,Police Jury/Police Jury Costs,allen Criminal Court Fund - Costs,22003
104,Allen Parish Police Jury - Crimnal Court fond-fines,Allen Parish Police Jury,Criminal Court Fund - Fines,33570,65431,99001,less,Disbursements to governments & nonprofits,allen,Police Jury/Police Jury Costs,allen Criminal Court Fund - Fines,22003
105,Allen Parish District Attorney - Criminal Court costs/fees,33rd Judicial District Attorney,Criminal Court Costs/Fees,10248,13112,23360,less,Disbursements to governments & nonprofits,allen,District Courts,allen Criminal Court Costs/Fees,22003
106,Allen Parish District Attorney - Criminal Court fines,33rd Judicial District Attorney,Criminal Court Fines,7652,12090,19742,less,Disbursements to governments & nonprofits,allen,District Courts,allen Criminal Court Fines,22003
107,Allen Parish District Attorney - bond fees,33rd Judicial District Attorney,Bond Fees,8118,9989,18107,less,Disbursements to governments & nonprofits,allen,District Courts,allen Bond Fees,22003
108,Louisiana Coimnision of Law Enforcement - Criminal Court cost/fees,Louisiana Commission on Law Enforcement,Criminal Court Costs/Fees,500,496,996,less,Disbursements to governments & nonprofits,allen,Louisiana Commission on Law Enforcement,allen Criminal Court Costs/Fees,22003
109,"DHH-TH/SCI, Head and Spinal - Criminal Court costs/fees",Traumatic Head and Spinal Chord Injury Trust Fund,Criminal Court Costs/Fees,742,1565,2307,less,Disbursements to governments & nonprofits,allen,Traumatic Head and Spinal Chord Injury Trust Fund,allen Criminal Court Costs/Fees,22003
110,Allen Parish Indiginent Defender Board - costs,Allen Parish Indigent Defender Board,Costs,14405,25923,40328,less,Disbursements to governments & nonprofits,allen,Parish Indigent/Public Defense,allen Costs,22003
111,Allen Parish Indiginent Defender Board - bond fees,Allen Parish Indigent Defender Board,Bond Fees,6773,8054,14827,less,Disbursements to governments & nonprofits,allen,Parish Indigent/Public Defense,allen Bond Fees,22003
112,Town of Kinder - Criminal Court costs/fees,Town of Kinder,Criminal Court Costs/Fees,25,0,25,less,Disbursements to governments & nonprofits,allen,City/Town Police and Government,allen Criminal Court Costs/Fees,22003
113,Louisiana State Police - Criminal Court costs/fees,Louisiana State Police,Criminal Court Costs/Fees,50,150,200,less,Disbursements to governments & nonprofits,allen,Louisiana State Police/State Services,allen Criminal Court Costs/Fees,22003
114,Judicial Expense Fund - Criminal Court costs/fees,Judicial Expense Fund,Criminal Court Costs/Fees,3591,5675,9266,less,Disbursements to governments & nonprofits,allen,Judicial Expense Funds,allen Criminal Court Costs/Fees,22003
115,Judicial Expense Fund - bond fees,Judicial Expense Fund,Bond Fees,6395,7690,14085,less,Disbursements to governments & nonprofits,allen,Judicial Expense Funds,allen Bond Fees,22003
116,Louisiana Department of Wildlife and Fisheries - Criminal Court costs/fees,Louisiana Department of Wildlife and Fisheries,Criminal Court Costs/Fees,7,14,21,less,Disbursements to governments & nonprofits,allen,Louisiana Department of Wildlife and Fisheries,allen Criminal Court Costs/Fees,22003
117,"Judical Admin, Supreme Court of LA - Criminal Court costs/fees","Supreme Court of Louisiana, Judicial Admin",Criminal Court Costs/Fees,115,221,336,less,Disbursements to governments & nonprofits,allen,Louisiana Supreme Court,allen Criminal Court Costs/Fees,22003
118,"Treasurer, State of Louisiana - Criminal Court costs/fees",State of Louisiana Treasurer,Criminal Court Costs/Fees,111,1403,1514,less,Disbursements to governments & nonprofits,allen,Louisiana State Treasury,allen Criminal Court Costs/Fees,22003
119,Louisiana Commision of Law Enforcement - training - Criminal Court costs,Louisiana Commission on Law Enforcement (Training),Criminal Court Costs,510,924,1434,less,Disbursements to governments & nonprofits,allen,Louisiana Commission on Law Enforcement,allen Criminal Court Costs,22003
120,Louisiana Coimnision of Law Enforcement - victims fund- Criminal Court costs,Louisiana Commission on Law Enforcement (Victims Fund),Criminal Court Costs,1673,1500,3173,less,Disbursements to governments & nonprofits,allen,Louisiana Commission on Law Enforcement,allen Criminal Court Costs,22003
121,Town of Oberlin - civil fees,Town of Oberlin,Civil Fees,13,0,13,less,Disbursements to governments & nonprofits,allen,City/Town Police and Government,allen Civil Fees,22003
122,Allen Parish Clerk's Office - civil fees,Allen Parish Clerk's Office,Civil Fees,11132,13350,24482,less,Disbursements to governments & nonprofits,allen,Parish Clerk of Court,allen Civil Fees,22003
123,Beauregard Parish Clerk of Court - civil fees,Beauregard Parish Clerk of Court,Civil Fees,32,0,32,less,Disbursements to governments & nonprofits,allen,Parish Clerk of Court,allen Civil Fees,22003
124,Calcasieu Parish Clerk of Court - civil fees,Calcasieu Parish Clerk of Court,Civil Fees,72,0,72,less,Disbursements to governments & nonprofits,allen,Parish Clerk of Court,allen Civil Fees,22003
125,Evangeline Parish ClerL of Court - civil fees ,Evangeline Parish Clerk of Court,Civil Fees,0,389,389,less,Disbursements to governments & nonprofits,allen,Parish Clerk of Court,allen Civil Fees,22003
126,Vernon Parish Clerk of Court - civil fees,Vernon Parish Clerk of Court,Civil Fees,0,101,101,less,Disbursements to governments & nonprofits,allen,Parish Clerk of Court,allen Civil Fees,22003
127,Self-disbursed to Collecting agency Criminal Court costs,Self-Disbursed to Collecting Agency,Criminal Court Costs,8040,9737,17777,less,Amounts retained by collection agency,allen,Collections/Processing,allen Criminal Court Costs,22003
128,Self-disbursed to Collecting agency Criminal fees,Self-Disbursed to Collecting Agency,Criminal Fees,6764,10264,17028,less,Amounts retained by collection agency,allen,Collections/Processing,allen Criminal Fees,22003
129,Self-disbursed to Collecting agency Criminal fines - contempt,Self-Disbursed to Collecting Agency,Criminal Fines - Contempt,1369,3860,5229,less,Amounts retained by collection agency,allen,Collections/Processing,allen Criminal Fines - Contempt,22003
130,Self-disbursed to Collecting agency Bond fees,Self-Disbursed to Collecting Agency,Bond Fees,8798,10934,19732,less,Amounts retained by collection agency,allen,Collections/Processing,allen Bond Fees,22003
131,Self-disbursed Civil fees,Self-Disbursed to Collecting Agency,Civil Fees,59744,38973,98717,less,Amounts retained by collection agency,allen,Collections/Processing,allen Civil Fees,22003
132,Restitution payments,Individuals - Restitution,Unspecified,2631,6705,9336,less,Disbursements to individuals/3rd party collection or processing agencies,allen,Individuals - Specified,allen Unspecified,22003
133,Cash bond refunds,Individuals - Bond Fee Refunds,Unspecified,3350,2300,5650,less,Disbursements to individuals/3rd party collection or processing agencies,allen,Individuals - Specified,allen Unspecified,22003
134,Civil fee refunds,Individuals - Civil Fee Refunds,Unspecified,1982,0,1982,less,Disbursements to individuals/3rd party collection or processing agencies,allen,Individuals - Specified,allen Unspecified,22003
135,Payments to 3rd party collection/processing agencies,3rd Party Collection/Processing Agencies,Unspecified,63323,111492,174815,less,Disbursements to individuals/3rd party collection or processing agencies,allen,Collections/Processing,allen Unspecified,22003
136,Civil fees,Allen Parish Sheriff,Civil Fees,130333,165911,296244,more,NAN,allen,Parish Sheriff,allen Civil Fees,22003
137,Bond fees,Allen Parish Sheriff,Bond Fees,6200,11250,17450,more,NAN,allen,Parish Sheriff,allen Bond Fees,22003
138,Asset forfeiture/sale,Allen Parish Sheriff,Asset Forfeiture/Sale,0,0,0,more,NAN,allen,Parish Sheriff,allen Asset Forfeiture/Sale,22003
139,Criminal Court costs/fees,Allen Parish Sheriff,Criminal Court Costs/Fees,63458,103930,167388,more,NAN,allen,Parish Sheriff,allen Criminal Court Costs/Fees,22003
140,Criminal fines - other,Allen Parish Sheriff,Criminal Fines - Other,47248,87784,135032,more,NAN,allen,Parish Sheriff,allen Criminal Fines - Other,22003
141,Restitution,Allen Parish Sheriff,Restitution,1504,6605,8109,more,NAN,allen,Parish Sheriff,allen Restitution,22003
142,Interest earnings on collected balances,Allen Parish Sheriff,Interest,70,79,149,more,NAN,allen,Parish Sheriff,allen Interest,22003
143,Other,Allen Parish Sheriff,Other,33580,52431,86011,more,NAN,allen,Parish Sheriff,allen Other,22003
144,23rd JIDC Judicial Expense Fund - Criminal Court Costs/Fees ,23rd Judicial District Court Expense Fund,Criminal Court Costs/Fees,14404,16844,31248,less,Disbursements to governments & nonprofits,ascension,District Courts,ascension Criminal Court Costs/Fees,22005
145,23rd JDC Publie Defender Board - Criminal Court Costs/Fees ,23rd Judicial District Court Public Defender Board,Criminal Court Costs/Fees,139798,157375,297173,less,Disbursements to governments & nonprofits,ascension,District Indigent/Public Defense,ascension Criminal Court Costs/Fees,22005
146,Ascension Parish Govemment - Criminal Court Costs/Fees ,Ascension Parish Government,Criminal Court Costs/Fees,97975,114539,212514,less,Disbursements to governments & nonprofits,ascension,Parish Government,ascension Criminal Court Costs/Fees,22005
147,Baton Rouge Crime Stoppers - Criminal Court Costs/Fees ,Baton Rouge Crime Stoppers,Criminal Court Costs/Fees,5493,6568,12061,less,Disbursements to governments & nonprofits,ascension,Crimestoppers Organizations,ascension Criminal Court Costs/Fees,22005
148,"Bridget Hanna, Clerk of Court - Criminal Court Costs/Fees ",Ascension Parish Clerk of Court,Criminal Court Costs/Fees,67090,70825,137915,less,Disbursements to governments & nonprofits,ascension,Parish Clerk of Court,ascension Criminal Court Costs/Fees,22005
149,City of Donaldsonville - Criminal Court Costs/Fees ,City of Donalsdsonville,Criminal Court Costs/Fees,4059,4829,8888,less,Disbursements to governments & nonprofits,ascension,City/Town Police and Government,ascension Criminal Court Costs/Fees,22005
